Sample,X(ms) [10.09.0265 14:13:29 486 UTC],CurrentSetpoint[mm],ScaledInput[mm],Output[%]
0,0.000000,80,31.7238101959229,58.6030082702637
1,0.997300,80,31.7238101959229,58.6030082702637
2,332.231400,80,0.46296301484108,100
3,631.441000,80,0.488281309604645,100
4,937.661700,80,0.372540503740311,100
5,1250.884300,80,0.383391201496124,100
6,1579.114500,80,0.383391201496124,100
7,1877.328200,80,0.401475697755814,100
8,2219.570100,80,0.379774302244186,100
9,2482.756700,80,0.368923604488373,100
10,2791.978200,80,0.383391201496124,100
11,3122.212500,80,0.376157402992249,100
12,3408.416700,80,0.430410891771317,100
13,3716.634500,80,0.368923604488373,100
14,4031.858100,80,0.368923604488373,100
15,4339.076900,80,0.376157402992249,100
16,4642.292300,80,0.434027791023254,100
17,4991.541400,80,0.390625,100
18,5273.741100,80,1.41782402992249,100
19,5579.958700,80,2.93692088127136,100
20,5876.170100,80,4.07262706756592,100
21,6174.382500,80,4.07262706756592,100
22,6498.611600,80,5.67491292953491,100
23,6799.827400,80,7.32060194015503,100
24,7107.047000,80,7.89930486679077,100
25,7407.258200,80,8.51417827606201,100
26,7715.477300,80,10.0730600357056,100
27,8028.698200,80,11.1074895858765,100
28,8350.927600,80,11.6608800888062,100
29,8655.143400,80,13.0208301544189,100
30,8969.370500,80,13.8237800598145,100
31,9277.587400,80,15.2416095733643,100
32,9590.811300,80,16.0445594787598,100
33,9894.023800,80,16.3953990936279,100
34,10199.242400,80,17.6504592895508,100
35,10529.475800,80,19.1333904266357,100
36,10819.683400,80,20.3233509063721,100
37,11108.888500,80,21.2311897277832,100
38,11418.108700,80,21.7122402191162,100
39,11764.355200,80,22.5875301361084,100
40,12043.552300,80,22.9600696563721,100
41,12354.774300,80,24.5804405212402,100
42,12655.988000,80,24.9348907470703,100
43,12983.219700,80,26.4142093658447,100
44,13290.439700,80,27.8790493011475,100
45,13589.651500,80,28.2660598754883,100
46,13889.863600,80,29.7128200531006,100
47,14198.084300,80,31.2789306640625,100
48,14537.324200,80,31.5465908050537,100
49,14815.521400,80,32.6533508300781,100
50,15107.730000,80,33.2031288146973,100
51,15416.951000,80,33.818000793457,100
52,15751.188500,80,35.5143203735352,100
53,16033.392100,80,35.5830383300781,100
54,16341.608600,80,36.2159996032715,100
55,16650.826200,80,36.9068298339844,100
56,16982.065000,80,37.6482887268066,100
57,17267.264300,80,38.3752899169922,100
58,17574.482600,80,39.0082511901855,100
59,17893.709100,80,39.3373794555664,100
60,18224.947500,80,40.1186294555664,100
61,18514.150000,80,40.8600997924805,100
62,18811.361200,80,41.5545387268066,100
63,19123.583100,80,41.9704895019531,100
64,19456.823800,80,42.6540794372559,100
65,19734.018600,80,43.0808715820313,100
66,20041.235700,80,43.822338104248,100
67,20342.452300,80,44.1225395202637,100
68,20655.674100,80,44.8097496032715,100
69,20964.893400,80,45.6741905212402,100
70,21269.107900,80,46.7267112731934,100
71,21576.331400,80,47.2764701843262,100
72,21908.568300,80,48.2204895019531,100
73,22209.779000,80,48.994499206543,100
74,22513.993000,80,50.4774284362793,100
75,22813.205300,80,52.1484413146973,100
76,23193.476800,80,52.5860786437988,100
77,23421.641900,80,54.481330871582,100
78,23758.880800,80,55.2408790588379,100
79,24066.097000,80,56.8829612731934,100
80,24365.309200,80,57.4001693725586,100
81,24641.508900,80,58.7565116882324,100
82,24949.726200,80,60.7530403137207,100
83,25267.951900,80,61.1038818359375,100
84,25573.168400,80,62.250431060791,100
85,25885.391600,80,62.9557304382324,100
86,26187.604700,80,64.1890869140625,100
87,26522.843800,80,64.2903671264648,100
88,26804.043600,80,65.176513671875,100
89,27104.259500,80,66.6594314575195,94.4635009765625
90,27439.494800,80,66.8728332519531,92.9524765014648
91,27728.698600,80,67.8927917480469,85.7301788330078
92,28041.924200,80,67.8493881225586,86.0375137329102
93,28396.173000,80,68.5004272460938,81.4275131225586
94,28667.370000,80,68.8548889160156,78.9176406860352
95,28980.588300,80,68.9995727539063,77.8932037353516
96,29279.803500,80,70.1678237915039,69.6208572387695
97,29603.031500,80,69.7446365356445,72.6173629760742
98,29902.246300,80,69.8603897094727,71.7977828979492
99,30234.482400,80,70.4680328369141,67.4951629638672
100,30527.689500,80,70.3052673339844,68.6476287841797
101,30827.901200,80,71.3288497924805,61.3997192382813
102,31144.127600,80,70.8550262451172,64.7547836303711
103,31448.347700,80,70.9563064575195,64.0376663208008
104,31802.594300,80,71.5313873291016,59.965518951416
105,32075.790200,80,70.8550262451172,64.7547836303711
106,32377.004700,80,71.4735336303711,60.3752784729004
107,32687.225100,80,70.9779968261719,63.8840293884277
108,33000.445200,80,70.9779968261719,63.8840293884277
109,33295.660100,80,70.9924774169922,63.781551361084
110,33606.876600,80,71.1009826660156,63.0132293701172
111,33942.117400,80,71.7375564575195,58.5056991577148
112,34229.321500,80,71.2275772094727,62.116828918457
113,34526.529700,80,71.2203369140625,62.1680908203125
114,34831.747900,80,71.1045989990234,62.9876289367676
115,35138.968000,80,71.3758697509766,61.066780090332
116,35448.185200,80,71.2782135009766,61.7582702636719
117,35766.415600,80,71.9401016235352,57.0714988708496
118,36073.630900,80,71.2275772094727,62.116828918457
119,36401.864200,80,71.2130966186523,62.219310760498
120,36700.074400,80,71.8713836669922,57.5580787658691
121,37017.301600,80,71.1009826660156,63.0132293701172
122,37325.524100,80,71.8315963745117,57.8398094177246
123,37650.753900,80,71.1009826660156,63.0132293701172
124,37934.952900,80,71.9979705810547,56.6617317199707
125,38249.176200,80,72.1462631225586,55.6116790771484
126,38546.390900,80,71.2275772094727,62.116828918457
127,38858.609800,80,71.8424530029297,57.7629890441895
128,39171.831500,80,71.1733169555664,62.5010414123535
129,39480.054800,80,71.1009826660156,63.0132293701172
130,39785.267900,80,71.3288497924805,61.3997192382813
131,40090.486500,80,71.2203369140625,62.1680908203125
132,40402.710500,80,71.2456588745117,61.9887886047363
133,40712.927600,80,71.4735336303711,60.3752784729004
134,41026.150600,80,71.1009826660156,63.0132293701172
135,41386.408400,80,71.3360824584961,61.3485107421875
136,41643.588600,80,71.2528915405273,61.9375801086426
137,41952.808300,80,71.4735336303711,60.3752784729004
138,42268.033600,80,71.3903427124023,60.9643516540527
139,42582.254800,80,71.1009826660156,63.0132293701172
140,42875.464900,80,71.0575790405273,63.3205718994141
141,43184.688100,80,71.8424530029297,57.7629890441895
142,43536.933700,80,71.4228897094727,60.733829498291
143,43818.134800,80,71.2673568725586,61.8351516723633
144,44123.350900,80,71.1009826660156,63.0132293701172
145,44417.560400,80,71.2058715820313,62.2705192565918
146,44731.782400,80,72.0883865356445,56.0214500427246
147,45043.004900,80,70.9273681640625,64.2425765991211
148,45356.229600,80,71.5747985839844,59.6581802368164
149,45667.450000,80,70.9779968261719,63.8840293884277
150,45980.672600,80,71.8424530029297,57.7629890441895
151,46290.894700,80,72.0522232055664,56.2775688171387
152,46592.105800,80,71.1009826660156,63.0132293701172
153,46924.341100,80,71.5856475830078,59.5813598632813
154,47204.544100,80,70.8622665405273,64.7035598754883
155,47517.762400,80,71.7194671630859,58.6337394714355
156,47812.976500,80,71.8858489990234,57.4556503295898
157,48163.222800,80,70.8550262451172,64.7547836303711
158,48434.418500,80,71.4699096679688,60.4008903503418
159,48751.642700,80,71.0901336669922,63.0900497436523
160,49063.863700,80,71.8424530029297,57.7629890441895
161,49377.084200,80,71.0394973754883,63.448600769043
162,49667.290900,80,70.9309921264648,64.2169189453125
163,49972.508200,80,71.2275772094727,62.116828918457
164,50356.782200,80,71.1226806640625,62.8595886230469
165,50641.983600,80,71.6435165405273,59.1715888977051
166,50933.192200,80,71.1009826660156,63.0132293701172
167,51221.395800,80,71.0141830444336,63.6279106140137
168,51514.603700,80,71.2963027954102,61.630241394043
169,51824.826300,80,71.202262878418,62.2961311340332
170,52126.042500,80,70.9816284179688,63.8583717346191
171,52455.271400,80,71.9654235839844,56.8921890258789
172,52759.490200,80,71.8424530029297,57.7629890441895
173,53048.693600,80,71.2167205810547,62.1936988830566
174,53355.911900,80,71.5964965820313,59.5045394897461
175,53655.125000,80,70.9779968261719,63.8840293884277
176,54006.374200,80,71.064811706543,63.269359588623
177,54292.577600,80,71.3505477905273,61.2460784912109
178,54589.793500,80,70.8550262451172,64.7547836303711
179,54903.012700,80,71.5711822509766,59.683780670166
180,55213.232300,80,70.8550262451172,64.7547836303711
181,55541.466800,80,71.7267074584961,58.58251953125
182,55842.680900,80,71.6182022094727,59.3508415222168
183,56151.899800,80,71.0105590820313,63.6535110473633
184,56476.129800,80,71.5096893310547,60.1192092895508
185,56775.342000,80,70.9779968261719,63.8840293884277
186,57075.555800,80,71.650749206543,59.1203804016113
187,57435.814000,80,71.1009826660156,63.0132293701172
188,57726.018100,80,70.99609375,63.7559394836426
189,58016.223900,80,71.58203125,59.6069602966309
190,58323.445200,80,70.9924774169922,63.781551361084
191,58643.671100,80,71.3794937133789,61.0411682128906
192,58974.906900,80,71.7194671630859,58.6337394714355
193,59265.113600,80,70.8550262451172,64.7547836303711
194,59561.323300,80,70.9707717895508,63.9352493286133
195,59873.543900,80,71.5964965820313,59.5045394897461
196,60171.755400,80,70.6127014160156,66.4707107543945
197,60482.979100,80,71.8677673339844,57.5836906433105
198,60792.199700,80,71.8424530029297,57.7629890441895
199,61111.423600,80,71.2456588745117,61.9887886047363
200,61400.631300,80,71.8424530029297,57.7629890441895
201,61701.842800,80,71.5964965820313,59.5045394897461
202,62050.091100,80,71.5024566650391,60.1704292297363
203,62322.285400,80,71.5964965820313,59.5045394897461
204,62643.517100,80,71.9292526245117,57.1483192443848
205,62937.726200,80,70.99609375,63.7559394836426
206,63248.943100,80,70.9779968261719,63.8840293884277
207,63561.166300,80,71.7194671630859,58.6337394714355
208,63874.390200,80,71.4843826293945,60.2984580993652
209,64167.595600,80,71.4735336303711,60.3752784729004
210,64482.820900,80,71.2601165771484,61.886360168457
211,64797.043300,80,70.732063293457,65.6255722045898
212,65146.291600,80,71.4843826293945,60.2984580993652
213,65432.497100,80,71.7194671630859,58.6337394714355
214,65714.696400,80,70.8550262451172,64.7547836303711
215,66025.918000,80,71.7267074584961,58.58251953125
216,66342.142700,80,70.8550262451172,64.7547836303711
217,66679.388800,80,71.5711822509766,59.683780670166
218,66964.583800,80,71.6254272460938,59.2996292114258
219,67267.800600,80,71.2167205810547,62.1936988830566
220,67575.017600,80,71.1045989990234,62.9876289367676
221,67876.232100,80,70.7501373291016,65.4974822998047
222,68188.453600,80,71.5892562866211,59.5557518005371
223,68498.676600,80,71.5928802490234,59.5301399230957
224,68830.909700,80,71.3505477905273,61.2460784912109
225,69124.119800,80,72.2149887084961,55.1250381469727
226,69420.332000,80,71.0105590820313,63.6535110473633
227,69731.550200,80,71.3505477905273,61.2460784912109
228,70030.767600,80,71.5964965820313,59.5045394897461
229,70337.982900,80,71.4988403320313,60.1960296630859
230,70651.205500,80,71.5747985839844,59.6581802368164
231,70954.418400,80,71.2782135009766,61.7582702636719
